# Per-voice summary

| voice | n | peak_mean | rms_mean | hf5k_mean | pitch_med Hz | pitch_range Hz |
|-------|--:|----------:|---------:|----------:|-------------:|---------------:|
| samples-josh-f1 | 26 | 0.950 | 0.348 | 0.231 | 396.2 | 386-409 |
| samples-josh-f2 | 26 | 0.950 | 0.294 | 0.255 | 485.0 | 474-495 |
| samples-josh-f3 | 26 | 0.950 | 0.267 | 0.298 | 345.0 | 335-352 |
| samples-josh-f4 | 26 | 0.950 | 0.342 | 0.212 | 334.7 | 327-341 |
| samples-josh-m1 | 26 | 0.950 | 0.258 | 0.224 | 382.8 | 368-389 |
| samples-josh-m2 | 26 | 0.950 | 0.274 | 0.238 | 351.0 | 345-357 |
| samples-josh-m3 | 26 | 0.950 | 0.330 | 0.242 | 308.7 | 306-312 |
| samples-josh-m4 | 26 | 0.950 | 0.227 | 0.070 | 99.6 | 98-359 |
| samples-josh-korean-f1 | 26 | 0.950 | 0.379 | 0.224 | 396.2 | 384-406 |
| samples-baseline | 26 | 0.950 | 0.235 | 0.242 | 255.5 | 234-306 |
| samples-equalo | 26 | 0.810 | 0.274 | 0.043 | 80.0 | 80-80 |
| samples-digiduncan | 26 | 0.340 | 0.081 | 0.242 | 255.5 | 234-306 |


# Detailed per-letter (josh English voices)


## samples-josh-f1

| ltr | peak | rms | hf5k | dc | f0 Hz |
| p | 0.950 | 0.237 | 0.328 | +0.0000 | 352.0 |
| q | 0.950 | 0.315 | 0.383 | -0.0001 | 348.0 |
| r | 0.950 | 0.248 | 0.154 | +0.0000 | 343.0 |
| s | 0.950 | 0.267 | 0.266 | -0.0000 | 345.0 |
| t | 0.950 | 0.302 | 0.207 | -0.0001 | 347.0 |
| u | 0.950 | 0.326 | 0.258 | -0.0000 | 345.0 |
| v | 0.950 | 0.187 | 0.405 | -0.0000 | 343.0 |
| w | 0.950 | 0.312 | 0.085 | -0.0000 | 352.0 |
| x | 0.950 | 0.298 | 0.252 | -0.0001 | 347.0 |
| y | 0.950 | 0.216 | 0.193 | +0.0000 | 344.0 |
| z | 0.950 | 0.214 | 0.452 | -0.0000 | 345.0 |

## samples-josh-f4

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.386 | 0.232 | -0.0001 | 334.2 |
| b | 0.950 | 0.321 | 0.154 | +0.0000 | 331.3 |
| c | 0.950 | 0.345 | 0.297 | +0.0000 | 335.1 |
| d | 0.950 | 0.327 | 0.268 | -0.0000 | 335.1 |
| e | 0.950 | 0.339 | 0.364 | -0.0001 | 337.1 |
| f | 0.950 | 0.325 | 0.130 | -0.0000 | 337.1 |
| g | 0.950 | 0.343 | 0.455 | -0.0000 | 335.1 |
| h | 0.950 | 0.288 | 0.118 | -0.0000 | 331.3 |
| i | 0.950 | 0.337 | 0.253 | -0.0000 | 341.0 |
| j | 0.950 | 0.338 | 0.248 | -0.0000 | 335.1 |
| k | 0.950 | 0.315 | 0.197 | -0.0000 | 335.1 |
| l | 0.950 | 0.322 | 0.171 | -0.0000 | 335.1 |
| m | 0.950 | 0.441 | 0.059 | -0.0000 | 333.2 |
| n | 0.950 | 0.424 | 0.221 | -0.0001 | 335.1 |
| o | 0.950 | 0.349 | 0.143 | -0.0000 | 333.2 |
| p | 0.950 | 0.284 | 0.158 | -0.0001 | 340.0 |
| q | 0.950 | 0.405 | 0.167 | -0.0000 | 333.2 |
| r | 0.950 | 0.280 | 0.109 | -0.0002 | 327.5 |
| s | 0.950 | 0.305 | 0.243 | -0.0000 | 338.1 |
| t | 0.950 | 0.351 | 0.321 | -0.0001 | 329.4 |
| u | 0.950 | 0.396 | 0.115 | +0.0000 | 333.2 |
| v | 0.950 | 0.383 | 0.238 | +0.0000 | 335.1 |
| w | 0.950 | 0.258 | 0.117 | -0.0000 | 333.2 |
| x | 0.950 | 0.364 | 0.325 | +0.0013 | 333.2 |
| y | 0.950 | 0.325 | 0.133 | -0.0011 | 333.2 |
| z | 0.950 | 0.343 | 0.266 | -0.0000 | 331.3 |

## samples-josh-m1

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.251 | 0.095 | -0.0000 | 380.5 |
| b | 0.950 | 0.291 | 0.200 | -0.0000 | 375.1 |
| c | 0.950 | 0.220 | 0.475 | -0.0000 | 381.6 |
| d | 0.950 | 0.308 | 0.188 | +0.0000 | 367.6 |
| e | 0.950 | 0.282 | 0.266 | -0.0000 | 382.8 |
| f | 0.950 | 0.253 | 0.096 | -0.0000 | 387.2 |
| g | 0.950 | 0.310 | 0.428 | -0.0000 | 387.2 |
| h | 0.950 | 0.252 | 0.154 | -0.0000 | 374.0 |
| i | 0.950 | 0.240 | 0.122 | +0.0000 | 389.4 |
| j | 0.950 | 0.168 | 0.330 | -0.0000 | 387.2 |
| k | 0.950 | 0.236 | 0.141 | -0.0000 | 389.4 |
| l | 0.950 | 0.194 | 0.125 | -0.0000 | 377.3 |
| m | 0.950 | 0.327 | 0.148 | -0.0000 | 381.6 |
| n | 0.950 | 0.181 | 0.253 | -0.0000 | 382.8 |
| o | 0.950 | 0.305 | 0.126 | -0.0000 | 382.8 |
| p | 0.950 | 0.303 | 0.319 | -0.0000 | 385.0 |
| q | 0.950 | 0.283 | 0.311 | -0.0000 | 382.8 |
| r | 0.950 | 0.215 | 0.168 | -0.0000 | 387.2 |
| s | 0.950 | 0.235 | 0.127 | -0.0000 | 385.0 |
| t | 0.950 | 0.246 | 0.332 | -0.0000 | 382.8 |
| u | 0.950 | 0.301 | 0.184 | +0.0000 | 388.3 |
| v | 0.950 | 0.255 | 0.273 | -0.0000 | 387.2 |
| w | 0.950 | 0.372 | 0.220 | -0.0001 | 387.2 |
| x | 0.950 | 0.234 | 0.125 | +0.0001 | 385.0 |
| y | 0.950 | 0.220 | 0.175 | -0.0002 | 382.8 |
| z | 0.950 | 0.225 | 0.449 | -0.0000 | 374.0 |

## samples-josh-m2

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.225 | 0.233 | -0.0000 | 353.0 |
| b | 0.950 | 0.362 | 0.324 | -0.0001 | 351.0 |
| c | 0.950 | 0.342 | 0.437 | -0.0000 | 351.0 |
| d | 0.950 | 0.375 | 0.379 | -0.0000 | 353.0 |
| e | 0.950 | 0.356 | 0.267 | -0.0000 | 351.0 |
| f | 0.950 | 0.241 | 0.199 | -0.0000 | 353.0 |
| g | 0.950 | 0.260 | 0.196 | -0.0000 | 357.1 |
| h | 0.950 | 0.208 | 0.112 | -0.0000 | 351.0 |
| i | 0.950 | 0.193 | 0.128 | -0.0000 | 345.0 |
| j | 0.950 | 0.217 | 0.371 | -0.0000 | 357.1 |
| k | 0.950 | 0.246 | 0.355 | -0.0000 | 353.0 |
| l | 0.950 | 0.193 | 0.129 | -0.0001 | 351.0 |
| m | 0.950 | 0.373 | 0.074 | -0.0000 | 351.0 |
| n | 0.950 | 0.208 | 0.217 | -0.0000 | 351.0 |
| o | 0.950 | 0.322 | 0.147 | -0.0000 | 350.0 |
| p | 0.950 | 0.261 | 0.282 | -0.0000 | 351.0 |
| q | 0.950 | 0.327 | 0.252 | -0.0000 | 349.0 |
| r | 0.950 | 0.315 | 0.112 | -0.0001 | 350.0 |
| s | 0.950 | 0.322 | 0.331 | -0.0000 | 353.0 |
| t | 0.950 | 0.210 | 0.267 | -0.0000 | 357.1 |
| u | 0.950 | 0.304 | 0.262 | -0.0000 | 357.1 |
| v | 0.950 | 0.291 | 0.231 | -0.0001 | 353.0 |
| w | 0.950 | 0.229 | 0.135 | -0.0000 | 347.0 |
| x | 0.950 | 0.215 | 0.267 | +0.0000 | 355.1 |
| y | 0.950 | 0.204 | 0.123 | -0.0000 | 351.0 |
| z | 0.950 | 0.328 | 0.348 | +0.0000 | 357.1 |

## samples-josh-m3

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.397 | 0.212 | -0.0001 | 309.1 |
| b | 0.950 | 0.343 | 0.240 | -0.0002 | 307.3 |
| c | 0.950 | 0.328 | 0.376 | -0.0000 | 307.3 |
| d | 0.950 | 0.327 | 0.231 | -0.0000 | 307.3 |
| e | 0.950 | 0.348 | 0.305 | -0.0000 | 309.1 |
| f | 0.950 | 0.313 | 0.158 | -0.0000 | 309.1 |
| g | 0.950 | 0.366 | 0.383 | +0.0000 | 309.1 |
| h | 0.950 | 0.240 | 0.096 | -0.0000 | 309.1 |
| i | 0.950 | 0.372 | 0.244 | -0.0000 | 309.1 |
| j | 0.950 | 0.292 | 0.317 | -0.0000 | 308.2 |
| k | 0.950 | 0.298 | 0.303 | -0.0000 | 310.9 |
| l | 0.950 | 0.340 | 0.146 | +0.0000 | 309.1 |
| m | 0.950 | 0.372 | 0.050 | -0.0000 | 305.5 |
| n | 0.950 | 0.326 | 0.142 | +0.0000 | 309.1 |
| o | 0.950 | 0.338 | 0.043 | +0.0000 | 305.5 |
| p | 0.950 | 0.340 | 0.314 | -0.0000 | 305.5 |
| q | 0.950 | 0.376 | 0.146 | -0.0000 | 307.3 |
| r | 0.950 | 0.284 | 0.163 | -0.0000 | 305.5 |
| s | 0.950 | 0.370 | 0.448 | -0.0000 | 309.1 |
| t | 0.950 | 0.331 | 0.501 | -0.0000 | 310.9 |
| u | 0.950 | 0.372 | 0.166 | +0.0000 | 307.3 |
| v | 0.950 | 0.353 | 0.245 | -0.0000 | 305.5 |
| w | 0.950 | 0.244 | 0.079 | -0.0000 | 305.5 |
| x | 0.950 | 0.370 | 0.441 | -0.0003 | 309.1 |
| y | 0.950 | 0.206 | 0.145 | +0.0002 | 307.3 |
| z | 0.950 | 0.336 | 0.409 | -0.0000 | 311.8 |

## samples-josh-m4

| ltr | peak | rms | hf5k | dc | f0 Hz |
|-----|-----:|----:|----:|---:|------:|
| a | 0.950 | 0.256 | 0.033 | -0.0001 | 99.6 |
| b | 0.950 | 0.235 | 0.120 | -0.0000 | 99.6 |
| c | 0.950 | 0.203 | 0.213 | -0.0000 | 101.4 |
| d | 0.950 | 0.235 | 0.080 | +0.0001 | 100.8 |
| e | 0.950 | 0.208 | 0.126 | -0.0002 | 99.1 |
| f | 0.950 | 0.234 | 0.038 | -0.0000 | 101.4 |
| g | 0.950 | 0.218 | 0.060 | -0.0001 | 99.1 |
| h | 0.950 | 0.204 | 0.029 | -0.0000 | 98.5 |
| i | 0.950 | 0.255 | 0.033 | -0.0001 | 99.6 |
| j | 0.950 | 0.225 | 0.043 | -0.0000 | 100.2 |
| k | 0.950 | 0.200 | 0.062 | -0.0000 | 99.6 |
| l | 0.950 | 0.200 | 0.023 | +0.0000 | — |
| m | 0.950 | 0.331 | 0.067 | +0.0006 | 99.1 |
| n | 0.950 | 0.191 | 0.047 | -0.0000 | 99.6 |
| o | 0.950 | 0.308 | 0.036 | -0.0000 | 100.2 |
| p | 0.950 | 0.194 | 0.118 | +0.0000 | 101.4 |
| q | 0.950 | 0.299 | 0.057 | -0.0001 | 208.7 |
| r | 0.950 | 0.241 | 0.030 | +0.0002 | 99.6 |
| s | 0.950 | 0.231 | 0.091 | -0.0000 | 99.1 |
| t | 0.950 | 0.158 | 0.089 | -0.0000 | 99.1 |
| u | 0.950 | 0.275 | 0.086 | -0.0000 | 99.6 |
| v | 0.950 | 0.246 | 0.052 | +0.0007 | 100.2 |
| w | 0.950 | 0.221 | 0.025 | +0.0001 | 100.8 |
| x | 0.950 | 0.102 | 0.110 | -0.0000 | 100.2 |
| y | 0.950 | 0.240 | 0.032 | +0.0003 | 359.2 |
| z | 0.950 | 0.196 | 0.131 | -0.0001 | 99.1 |
